,Sr No.,Utterance,Emotion
2447,2590,You. Like you haven’t done enough.,anger
2451,2594,"And then also umm, I’d be far away in the sea.",anger
2456,2599,"Oh God, get out!",anger
2457,2600,Get out!!,anger
2458,2601,Get out!!,anger
2459,2602,Get out!,anger
2470,2614,"Oh, is this about you-you dating the nurse?",surprise
2477,2621,MY SANDWICH?!!!,anger
2478,2622,MY SANDWICH!!!!!!,anger
2480,2624,She cancelled! My namesake cancelled on me!,anger
2481,2625,What?!,surprise
2490,2634,"Well, are any of those people here?!",anger
2491,2635,"Oh my God, so do I!",surprise
2492,2636,"I knew it, wow!!",surprise
2495,2639,"Uh-huh, well! But umm, still I’m-I’m mad at you.",anger
2496,2640,I know. I’m mad at me too.,anger
2498,2642,Hey! Me too!,surprise
2504,2648,"All right. Well, there you go.  Stop it, stop it, stop it.",anger
2505,2649,Oh my God! That guy at the counter is totally checking you out!,surprise
2506,2650,"Really?  My God, he’s really cute.",surprise
2508,2652,"Phoebe, I’m engaged!",surprise
2516,2660,What?!,surprise
2521,2665,"Oh, why don’t you make her one of your little jokes.",anger
2533,2681,Oh. Oh I just cannot believe Clark stood me up!,anger
2535,2683,"Oh, what are you, stupid? It’s been three hours.",anger
2540,2688,"Uh, tiny!",surprise
2543,2691,"Oh…wait…you two think of me as family?! Oh, I have to ask you something now and be honest; do you want me to sing",surprise
2548,2696,Whoa!  Y'know what Katie? I gotta tell ya I-I-I-I think you are the one who is too much.,surprise
2553,2701,"Oww!!!! Joey, she just kicked me.",surprise
2557,2705,"You'd better do something, or I'm gonna walk out that door right now! Well? Are you gonna?",anger
2560,2708,Don’t you think I asked him that before he got in?!,surprise
2561,2709,"Y’know what? I’m not talking to you! You go back to sleep!  And you, are you a rapist?!",anger
2562,2710,No!,anger
2567,2715,No-No! You need your sleep. Night-night! Shh!,anger
2569,2717,I can’t figure this out!,anger
2575,2723,You told me.,surprise
2576,2724,"Well, it’s because I trust you, you’re one of my best friends, and you walked in on me when I was looking at ring brochures.",anger
2577,2725,"Yeah well, once again not knocking pays off. I only wish you hadn’t been on the toilet.",surprise
2586,2735,"Oh, I’m sorry. You wanna bite?",surprise
2587,2736,"The stripper stole the ring!! The stripper stole the ring!! Chandler! Chandler, get up! Get up! The stripper stole the ring!",surprise
2588,2737,What?,surprise
2589,2738,The ring is gone!,surprise
2593,2742,You’re the worst best man ever!,anger
2594,2743,"Dude, this isn’t funny!",anger
2598,2747,You slept with the stripper?,surprise
2600,2749,What difference does that make?!,anger
2601,2750,"Well, I'm just—if the paste matches the pants, you can make yourself a pair of paste pants and she won't know the difference!",anger
2604,2753,"Uh, Rachel's here, so good luck man, let me know how it works out.",anger
2609,2758,"Oh my God, it's so huge, but you just have to promise me that you cannot tell anyone.",surprise
2611,2760,"Yes! Yes! Yes, you do want to know! This is unbelievable!",anger
2613,2762,What? What secrets? You know secrets? What are they?,surprise
2616,2765,I'm not listening to you!,anger
2618,2768,"Hey, come on now!",anger
2623,2773,"It was so stupid, I said some stuff in an interview that I shouldn’t have said.",anger
2636,2786,"Whoa-whoa, Treeger made you cry?",surprise
2638,2788,I’m gonna go down there and teach that guy a lesson.,anger
2640,2790,"That’s easy for you to say, you weren’t almost just killed.",anger
2642,2792,My God! Is this a gym card?,surprise
2649,2799,No!,anger
2653,2806,Exactly! Because it's in the past!,anger
2659,2812,"Well, when Jake did it I saw that…he was wearing women’s underwear!",surprise
2665,2818,That’s…kinda hot.,surprise
2686,2839,Yowza,anger
2688,2841,Dear Lord.,surprise
2701,2855,"No, no, no, don't you dare bail on me.",anger
2703,2857,"Yes, I know, but her friend sounds like such a...",anger
2714,2868,What? No-no it’s her birthday!,surprise
2715,2869,You’ve sung Happy Birthday to 20 different women today!,surprise
2718,2872,Damnit!,anger
2723,2877,Oh wow!,surprise
2724,2878,"I mean, wow!",surprise
2726,2880,Really?!,surprise
2747,2907,"Apparently, there’s like a million guys out there that can play Mac, and there’s only this one robot and this one guy who controls it!",surprise
2748,2908,I didn’t know he could get me fired!,surprise
2762,2923,"Whoa-whoa, what is it?",surprise
2764,2925,A date?!,surprise
2765,2926,"No, no Pheebs you-you must be mistaken, because I know you wouldn’t schedule a date on the same night you have plans with a friend!",surprise
2767,2928,"No, I’m gonna!!",anger
2768,2929,That’s right!,anger
2769,2930,"Yeah, you made me feel really guilty about goin’ out with that girl!",anger
2770,2931,Like-like-like I did something terrible to you!,anger
2771,2932,"And now Pheebs, you’re doing the same thing!",anger
2772,2933,That—It’s not the same thing! This is,anger
2773,2934,"Okay, well my girl from the other night was special. She was a scientist too!",anger
2774,2935,She was?,surprise
2775,2936,"Well, she graduated from high school!",anger
2778,2939,"I don’t have time to convince you because he’s only here for four hours, and I’m gonna go see him!",anger
2779,2940,Fine!,anger
2780,2941,Yeah!,anger
2781,2942,Fine!,anger
2782,2943,Yeah!,anger
2783,2944,"What are you still doin’ here?! I told you, lobster ravioli!",anger
2787,2948,How could I forget?,surprise
2789,2950,"Hello, Susan.  Good shake. Good shake. So, uh, we're just waiting for...?",anger
2798,2959,Ross? That opens my cervix.,surprise
2799,2960,Barry?,surprise
2801,2962,Are you sure?,surprise
2803,2964,Huh?!,surprise
2807,2969,"No-no, let me in!",anger
2815,2977,Let go!,anger
2816,2978,No! You let go!,anger
2820,2983,Gimme the this!,anger
2821,2984,Let go!,anger
2829,2992,"Oh, boy, do they suck.",anger
2830,2993,"Hey, listen, lady.......whoa.",surprise
2835,2998,"Oh, shut up. You know, it's a rebuilding year. You... waah!",anger
2836,2999,"Wha? Wha..aa? Let me get the father. Hey, we need a father over here! We need a father!",anger
2848,3013,Hating you!,anger
2849,3014,Did you see how he was sweating when he walked out of there?,surprise
2854,3019,Oh God.,surprise
2860,3025,"We can’t tell him, you can’t go up to a guy you barely know and talk about his.... stuff.",anger
2862,3027,Hey!,surprise
2866,3031,What?,surprise
2868,3033,I don’t have time for this.,anger
2875,3040,What’s going on?,surprise
2878,3043,"Ah-ah-ah, now you started this, you will finish it.",anger
2879,3044,He started mine first!,anger
2880,3045,"Build the unit Cinderelly, lay the tile Cinderelly.",anger
2890,3055,Both of us?,surprise
2912,3079,You love her!,surprise
2924,3091,"Hey, Chandler! What are you doing here?",surprise
2933,3100,"Oh my God, are you out of a job?",surprise
2943,3110,No?,surprise
2945,3112,Oh!,surprise
2949,3116,"All right! Ross, do you think it’s easy for me to see you with somebody else?",anger
2950,3117,"Y'know, hey! You’re the one who ended it, remember?",anger
2955,3122,"Oh, y-yeah, so, you-you love me!",surprise
2956,3123,"Noo, nnnnn. What does this mean? What do you, I mean do you wanna, get back together?",surprise
2957,3124,Noo!,anger
2958,3125,Maybe!,surprise
2965,3132,"Noo!! I don’t care! I’m not, I’m not gonna playing one-on-one strip poker with you for practice!",anger
2990,3159,"How could you say yes, what about our catering business?",anger
3001,3171,Stop callin’!!,anger
3008,3178,"""Pheebs, can’t make it, got a date. Talk to you later. Big Daddy.""  Big Daddy?",anger
3013,3183,Oh-Wha-Ho! What are you middle naming me for?! I left you a note!,surprise
3014,3184,So what?! That doesn’t give you the right to ditch me!,anger
3015,3185,"Hey, you can cancel plans with friends if there is the possibility for sex!",anger
3017,3187,I don’t accept this rule.,anger
3018,3188,"When we make plans, I expect you to show up.",anger
3019,3189,"Okay, I can’t just be a way to kill time ‘til you meet someone better!",anger
3020,3190,"Y’know boyfriends and girlfriends come and go, but this  is for life!",anger
3032,3202,"And I feel like I’ve conquered the business world, and I feel like I’ve conquered the intellectual world, and now I-I have the most beautiful woman in the world.",anger
3033,3203,Wow.,surprise
3039,3209,You wanna what?!,surprise
3041,3211,What are you talking about?,surprise
3052,3222,What?!,surprise
3056,3226,Really?,surprise
3061,3233,Chandler!,surprise
3065,3237,Including me?,surprise
3071,3243,Why?,surprise
3073,3245,What sex?,surprise
3075,3247,We didn’t have sex.,surprise
3080,3252,"Either that or she’s just the best, most expensive date I ever had.",surprise
3083,3255,Ehh?,surprise
3092,3265,Oh!,surprise
3093,3266,Oh God,surprise
3095,3268,"Oh-oh, that’s a risky little game!",surprise
3100,3273,You said I was boring--Ohh!,anger
3102,3275,"Oh my God, I remember now! We were playing chess!",surprise
3106,3279,"We were playing chess, you said I was boring, and then you took off your energy mask and you were Cameron Diaz!",anger
3108,3281,"All right, I’m leaving!",anger
3109,3282,Because I’m not going to spend one more day with someone whose out to sabotage my every move.,anger
3110,3283,That’s you Rachel!,anger
3112,3285,"And you! I throw myself at you and you say no, how gay are you?",anger
3118,3292,Look! This is ridiculous. We should be packing you!!,anger
3121,3295,I am not!,anger
3122,3296,Oh really?! Then how come all your stuff is in this box?!,surprise
3124,3298,No Phoebe I am mad!,anger
3126,3300,"Yeah, I’m just mad!",anger
3132,3306,Oh! Here we,anger
3142,3318,I just didn’t see the fast song coming.,surprise
3149,3325,"No, I mean it. There are so few genuinely nice guys out there.",anger
3153,3329,Wait a minute!,surprise
3154,3330,No!,anger
3155,3331,I’m the nice one!,surprise
3156,3332,I’m the one who danced with the kids all night!,surprise
3160,3337,Doctor? Wow! I didn’t know he had a nickname.,surprise
3180,3359,"....and 12, 22, 18, four...  What?",surprise
3184,3363,What?,surprise
3186,3366,"No, just, just, just a couple more boxes.",anger
3192,3372,Check this out. Five hundred and seventeen boxes!,surprise
3193,3373,"Oh my God, how did you do that?",surprise
3199,3379,"Well hey, who did these resumes for ya?",surprise
3202,3383,Hey.  Soaps? Shampoos? Are you really taking all this stuff?,surprise
3204,3385,Yeah but you don’t need——What is this?,surprise
3208,3389,The cameras? Remember last night I told you to take them?,surprise
3210,3391,"Yes! Remember? Right before we cut the cake, I went up to you and I said",surprise
3215,3396,So you don’t have the cameras?!,surprise
3217,3398,So? What? What? They’re gone! Monica’s gonna freak!,surprise
3219,3400,Great.,anger
3224,3407,What?,surprise
3240,3424,Enough!,anger
3250,3435,This game makes no sense!,anger
3254,3439,Let me think. Let me think—Oh! I don’t care.,anger
3257,3442,"Choose, you jackass!",anger
3260,3445,What?!,surprise
3264,3449,"Hello?  Oh, hi Ross!  See? Other people call me!",surprise
3269,3454,"Whoa, maybe I was!",surprise
3274,3460,It worked!,surprise
3278,3464,"Wow! She is pretty, huh?",surprise
3286,3472,Ahh! Aren’t you dressed yet?,surprise
3287,3473,Am I naked again?!,surprise
3290,3476,Wh?! What about my allergies?!,surprise
3294,3480,Really?!,surprise
3298,3484,"Sweety, what are you talking about?",surprise
3300,3486,"Whoa, wait, Pheebs, wait a second! Don’t you wanna stay here and talk about it?",surprise
3319,3507,Oh no!You guys aren't supposed to get divorced for 7 years!,surprise
3328,3516,So? Come on! Explain yourself Geller! First you get my Rachel pregnant!,anger
3329,3517,You got Rachel pregnant?!,surprise
3330,3518,Who did?!,surprise
3331,3519,You did!,anger
3333,3521,Oh? Really? That’s what my daughter means to you? Nothing?,anger
3335,3523,What?!,surprise
3337,3525,Oh really? That’s how treat a friend? You get her in trouble and then refuse to marry her?,anger
3338,3526,Hey! I offered to marry her!,anger
3340,3528,But I didn’t want to.,anger
3341,3529,Well why not? So you can spend your time with this tramp?!,anger
3342,3530,Tramp?!,surprise
3345,3533,"I know what time it is, but I'm looking at the WENUS and I'm not happy!...",anger
3347,3535,"Well, let me tell you something... you will care about it, because I care about it!",anger
3350,3538,Whooooaaaa....,surprise
3360,3548,"""Oh, my, god.""",surprise
3367,3555,That's terrible.,anger
3377,3565,Where'd you get fruit at four in the morning?,surprise
3379,3567,I didn't know there were docks.,surprise
3386,3574,"Well, I'm sorry Joe. I didn't think the doctor was gonna buy that it just *fell* out of the socket.",anger
3387,3575,What is this? Fruit?,surprise
3393,3581,"I needed a plan, a plan to get over my man.",anger
3397,3585,It's way to hot.,anger
3399,3588,Why? Do you think he’s still mad at us?,surprise
